Program Time [s],data 0,on/off
6.98703,2566,0
6.99337,2555,0
6.99953,2545,0
7.00581,2542,0
7.01204,2535,0
7.01827,2527,0
7.02454,2523,0
7.03078,2515,0
7.03703,2511,0
7.04326,2503,0
7.04953,2499,0
7.0558,2494,0
7.062,2489,0
7.06825,2485,0
7.07454,2481,0
7.08081,2479,0
7.08702,2470,0
7.09327,2465,0
7.09961,2459,0
7.10576,2454,0
7.11202,2745,0
7.11827,2733,0
7.12453,2738,0
7.1308,2713,0
7.13703,2717,0
7.14337,2711,0
7.14949,2704,0
7.15578,2702,0
7.16203,2694,0
7.16836,2692,0
7.17453,2684,0
7.18077,2679,0
7.18703,2672,0
7.19326,2669,0
7.19953,2666,0
7.20582,2659,0
7.21201,2656,0
7.21826,2652,0
7.22453,2643,0
7.23075,2640,0
7.237,2629,0
7.24326,2623,0
7.2495,2615,0
7.25576,2612,0
7.26203,2608,0
7.26836,2602,0
7.27453,2595,0
7.2808,2589,0
7.28701,2578,0
7.29326,2576,0
7.29953,2572,0
7.30576,2569,0
7.31201,2557,0
7.31826,2557,0
7.32453,2549,0
7.33076,2548,0
7.33704,2544,0
7.34326,2541,0
7.3495,2537,0
7.35577,2529,0
7.36203,2624,0
7.36843,2615,0
7.37449,2602,0
7.38075,2607,0
7.38701,2600,0
7.39327,2592,0
7.3995,2586,0
7.40575,2577,0
7.412,2571,0
7.41827,2559,0
7.4245,2554,0
7.43076,2546,0
7.43702,2544,0
7.44323,2541,0
7.44952,2533,0
7.45576,2532,0
7.46199,2529,0
7.46826,2522,0
7.47449,2519,0
7.48077,2518,0
7.48701,2761,0
7.49325,2752,0
7.49953,2736,0
7.50575,2743,0
7.51198,2737,0
7.51826,2735,0
7.52448,2728,0
7.53075,2719,0
7.53702,2716,0
7.54326,2709,0
7.5495,2704,0
7.55578,2699,0
7.562,2695,0
7.56825,2688,0
7.57453,2690,0
7.58076,2683,0
7.58699,2675,0
7.59323,2671,0
7.59949,2671,0
7.60578,2663,0
7.612,2614,0
7.61827,2611,0
7.6245,2608,0
7.63077,2602,0
7.637,2592,0
7.64326,2592,0
7.6495,2582,0
7.65576,2578,0
7.66198,2571,0
7.66828,2559,0
7.67448,2551,0
7.68076,2544,0
7.68698,2542,0
7.69325,2533,0
7.6995,2526,0
7.70575,2525,0
7.71203,2519,0
7.71825,2531,0
7.72453,2513,0
7.73073,2507,0
7.737,2630,0
7.74326,2631,0
7.74948,2620,0
7.75573,2614,0
7.76198,2610,0
7.76827,2603,0
7.77448,2597,0
7.78072,2592,0
7.787,2586,0
7.79327,2578,0
7.79948,2574,0
7.80576,2567,0
7.812,2556,0
7.81827,2550,0
7.82449,2549,0
7.83076,2543,0
7.83701,2546,0
7.84327,2534,0
7.84949,2528,0
7.85573,2524,0
7.86199,2655,0
7.86827,2651,0
7.87449,2645,0
7.88077,2640,0
7.88698,2640,0
7.89321,2630,0
7.89957,2625,0
7.90574,2621,0
7.91199,2610,0
7.91826,2608,0
7.92449,2602,0
7.93077,2595,0
7.93701,2590,0
7.94321,2582,0
7.94949,2577,0
7.95577,2576,0
7.96199,2567,0
7.96826,2557,0
7.97448,2555,0
7.98076,2544,0
7.98698,2638,0
7.99326,2608,0
7.99948,2625,0
8.00572,2621,0
8.01199,2615,0
8.01826,2611,0
8.02447,2607,0
8.03073,2598,0
